"Player","Team","Position","Total Snaps","Off Snaps","Off Snap Pct","Def Snaps","Def Snap Pct","ST Snaps","ST Snap Pct"
"1-C.Newton","CAR","QB","215","215","100.0","0","0.0%","0","0.0%"
"10-C.Daniel","KC","QB","0","0","0.0%","0","0.0%","0","0.0%"
"10-E.Manning","NYG","QB","200","200","100.0","0","0.0%","0","0.0%"
"10-J.Garoppolo","NE","QB","2","2","0.9%","0","0.0%","0","0.0%"
"10-K.Clemens","SD","QB","14","14","6.5%","0","0.0%","0","0.0%"
"10-R.Griffin","WAS","QB","0","0","0.0%","0","0.0%","0","0.0%"
"11-A.Smith","KC","QB","205","205","100.0","0","0.0%","0","0.0%"
"12-A.Luck","IND","QB","200","200","100.0","0","0.0%","0","0.0%"
"12-A.Rodgers","GB","QB","207","207","100.0","0","0.0%","0","0.0%"
"12-C.Whitehurst","TEN","QB","0","0","0.0%","0","0.0%","0","0.0%"
"12-D.Fales","CHI","QB","0","0","0.0%","0","0.0%","0","0.0%"
"12-R.Nassib","NYG","QB","0","0","0.0%","0","0.0%","0","0.0%"
"12-S.Renfree","ATL","QB","0","0","0.0%","0","0.0%","0","0.0%"
"12-T.Brady","NE","QB","225","225","99.1%","0","0.0%","0","0.0%"
"13-J.McCown","CLE","QB","91","91","47.4%","0","0.0%","0","0.0%"
"13-S.Hill","MIN","QB","0","0","0.0%","0","0.0%","0","0.0%"
"13-T.Siemian","DEN","QB","0","0","0.0%","0","0.0%","0","0.0%"
"14-A.Dalton","CIN","QB","207","207","100.0","0","0.0%","0","0.0%"
"14-J.Webb","CAR","QB","55","0","0.0%","0","0.0%","55","65.5%"
"14-M.McGloin","OAK","QB","41","41","19.7%","0","0.0%","0","0.0%"
"14-R.Fitzpatrick","NYJ","QB","206","206","100.0","0","0.0%","0","0.0%"
"14-S.Mannion","STL","QB","0","0","0.0%","0","0.0%","0","0.0%"
"15-R.Mallett","HOU","QB","196","196","76.9%","0","0.0%","0","0.0%"
"16-C.McCoy","WAS","QB","0","0","0.0%","0","0.0%","0","0.0%"
"16-M.Cassel","DAL","QB","0","0","0.0%","0","0.0%","0","0.0%"
"16-M.Cassel","BUF","QB","1","1","0.5%","0","0.0%","0","0.0%"
"16-S.Tolzien","GB","QB","0","0","0.0%","0","0.0%","0","0.0%"
"17-B.Osweiler","DEN","QB","0","0","0.0%","0","0.0%","0","0.0%"
"17-C.Keenum","STL","QB","0","0","0.0%","0","0.0%","0","0.0%"
"17-K.Moore","DAL","QB","0","0","0.0%","0","0.0%","0","0.0%"
"17-P.Rivers","SD","QB","201","201","93.5%","0","0.0%","0","0.0%"
"17-R.Tannehill","MIA","QB","201","201","100.0","0","0.0%","0","0.0%"
"18-G.Grayson","NO","QB","0","0","0.0%","0","0.0%","0","0.0%"
"18-P.Manning","DEN","QB","214","214","100.0","0","0.0%","0","0.0%"
"2-B.Gabbert","SF","QB","0","0","0.0%","0","0.0%","0","0.0%"
"2-J.Manziel","CLE","QB","101","101","52.6%","0","0.0%","0","0.0%"
"2-M.Ryan","ATL","QB","223","223","100.0","0","0.0%","0","0.0%"
"2-M.Vick","PIT","QB","22","22","11.4%","0","0.0%","0","0.0%"
"3-B.Weeden","DAL","QB","80","80","38.3%","0","0.0%","0","0.0%"
"3-C.Palmer","ARI","QB","192","192","98.5%","0","0.0%","0","0.0%"
"3-D.Anderson","CAR","QB","0","0","0.0%","0","0.0%","0","0.0%"
"3-E.Manuel","BUF","QB","3","3","1.5%","0","0.0%","0","0.0%"
"3-J.Winston","TB","QB","199","199","100.0","0","0.0%","0","0.0%"
"3-L.Jones","PIT","QB","0","0","0.0%","0","0.0%","0","0.0%"
"3-M.Sanchez","PHI","QB","0","0","0.0%","0","0.0%","0","0.0%"
"3-R.Wilson","SEA","QB","207","207","100.0","0","0.0%","0","0.0%"
"4-D.Carr","OAK","QB","167","167","80.3%","0","0.0%","0","0.0%"
"4-R.Griffin","TB","QB","0","0","0.0%","0","0.0%","0","0.0%"
"4-S.Morris","PHI","QB","0","0","0.0%","0","0.0%","0","0.0%"
"5-A.McCarron","CIN","QB","0","0","0.0%","0","0.0%","0","0.0%"
"5-B.Bortles","JAC","QB","197","197","100.0","0","0.0%","0","0.0%"
"5-D.Stanton","ARI","QB","3","3","1.5%","0","0.0%","0","0.0%"
"5-J.Flacco","BAL","QB","214","214","100.0","0","0.0%","0","0.0%"
"5-N.Foles","STL","QB","162","162","100.0","0","0.0%","0","0.0%"
"5-T.Bridgewater","MIN","QB","177","177","100.0","0","0.0%","0","0.0%"
"6-J.Cutler","CHI","QB","105","105","53.6%","0","0.0%","0","0.0%"
"6-T.Heinicke","MIN","QB","0","0","0.0%","0","0.0%","0","0.0%"
"7-A.Davis","CLE","QB","0","0","0.0%","0","0.0%","0","0.0%"
"7-A.Murray","KC","QB","0","0","0.0%","0","0.0%","0","0.0%"
"7-B.Hoyer","HOU","QB","59","59","23.1%","0","0.0%","0","0.0%"
"7-B.Hundley","GB","QB","0","0","0.0%","0","0.0%","0","0.0%"
"7-B.Roethlisberger","PIT","QB","171","171","88.6%","0","0.0%","0","0.0%"
"7-C.Henne","JAC","QB","0","0","0.0%","0","0.0%","0","0.0%"
"7-C.Kaepernick","SF","QB","213","213","100.0","0","0.0%","0","0.0%"
"7-G.Smith","NYJ","QB","0","0","0.0%","0","0.0%","0","0.0%"
"7-L.McCown","NO","QB","81","70","31.5%","0","0.0%","11","12.8%"
"7-S.Bradford","PHI","QB","206","206","100.0","0","0.0%","0","0.0%"
"7-T.Jackson","SEA","QB","0","0","0.0%","0","0.0%","0","0.0%"
"7-Z.Mettenberger","TEN","QB","11","11","5.0%","0","0.0%","0","0.0%"
"8-D.Orlovsky","DET","QB","1","0","0.0%","0","0.0%","1","1.3%"
"8-J.Clausen","CHI","QB","91","91","46.4%","0","0.0%","0","0.0%"
"8-K.Cousins","WAS","QB","227","227","100.0","0","0.0%","0","0.0%"
"8-M.Glennon","TB","QB","0","0","0.0%","0","0.0%","0","0.0%"
"8-M.Hasselbeck","IND","QB","0","0","0.0%","0","0.0%","0","0.0%"
"8-M.Mariota","TEN","QB","209","209","95.0%","0","0.0%","0","0.0%"
"8-M.Moore","MIA","QB","0","0","0.0%","0","0.0%","0","0.0%"
"8-M.Schaub","BAL","QB","0","0","0.0%","0","0.0%","0","0.0%"
"9-B.Petty","NYJ","QB","0","0","0.0%","0","0.0%","0","0.0%"
"9-D.Brees","NO","QB","152","152","68.5%","0","0.0%","0","0.0%"
"9-M.Barkley","ARI","QB","0","0","0.0%","0","0.0%","0","0.0%"
"9-M.Stafford","DET","QB","199","199","100.0","0","0.0%","0","0.0%"
"9-T.Lewis","PHI","QB","0","0","0.0%","0","0.0%","0","0.0%"
"9-T.Romo","DAL","QB","129","129","61.7%","0","0.0%","0","0.0%"